X[Hz],R[Vpk],I[Vpk],Mag[Vpk],P[deg]
5.62E+02,-7.76E-08,2.46E-07,2.58E-07,1.08E+02
5.64E+02,-5.46E-08,6.90E-08,8.80E-08,1.28E+02
5.66E+02,4.23E-08,-1.20E-07,1.27E-07,-7.05E+01
5.68E+02,3.18E-08,-9.12E-08,9.66E-08,-7.08E+01
5.70E+02,1.39E-09,2.11E-08,2.12E-08,8.62E+01
5.72E+02,-5.46E-08,5.15E-08,7.51E-08,1.37E+02
5.74E+02,-1.21E-07,-1.02E-08,1.22E-07,-1.75E+02
5.76E+02,3.69E-09,-6.11E-08,6.12E-08,-8.65E+01
5.78E+02,2.41E-07,-8.17E-09,2.41E-07,-1.95E+00
5.80E+02,1.79E-07,4.10E-08,1.84E-07,1.29E+01
5.82E+02,-1.62E-07,-1.41E-08,1.62E-07,-1.75E+02
5.84E+02,-3.46E-07,-1.00E-07,3.60E-07,-1.64E+02
5.86E+02,-2.49E-07,-1.80E-07,3.07E-07,-1.44E+02
5.88E+02,-4.38E-08,-2.67E-07,2.71E-07,-9.93E+01
5.90E+02,1.67E-07,-2.72E-07,3.19E-07,-5.85E+01
5.92E+02,3.31E-07,-1.40E-07,3.59E-07,-2.29E+01
5.94E+02,4.00E-07,-8.56E-09,4.00E-07,-1.23E+00
5.96E+02,3.45E-07,-8.65E-09,3.45E-07,-1.44E+00
5.98E+02,1.83E-07,-8.27E-08,2.01E-07,-2.43E+01
6.00E+02,5.17E-08,-1.08E-07,1.20E-07,-6.44E+01
6.02E+02,4.10E-08,-1.15E-07,1.22E-07,-7.03E+01
6.04E+02,5.92E-08,-8.63E-08,1.05E-07,-5.56E+01
6.06E+02,2.69E-08,6.29E-08,6.84E-08,6.69E+01
6.08E+02,9.27E-09,1.40E-07,1.40E-07,8.62E+01
6.10E+02,9.85E-08,3.08E-08,1.03E-07,1.73E+01
6.12E+02,2.39E-07,-1.76E-08,2.39E-07,-4.22E+00
6.14E+02,2.31E-07,9.33E-08,2.49E-07,2.20E+01
6.16E+02,5.82E-08,1.73E-07,1.82E-07,7.14E+01
6.18E+02,-2.69E-08,1.11E-07,1.14E-07,1.04E+02
6.20E+02,6.67E-08,4.12E-08,7.84E-08,3.17E+01
6.22E+02,1.35E-07,1.37E-07,1.92E-07,4.53E+01
6.24E+02,6.17E-08,3.13E-07,3.19E-07,7.89E+01
6.26E+02,-3.64E-08,2.85E-07,2.87E-07,9.73E+01
6.28E+02,-7.76E-08,5.68E-08,9.62E-08,1.44E+02
6.30E+02,-8.46E-08,-8.33E-08,1.19E-07,-1.35E+02
6.32E+02,-1.70E-08,-8.40E-08,8.57E-08,-1.01E+02
6.34E+02,1.15E-07,-3.04E-08,1.19E-07,-1.48E+01
6.36E+02,1.95E-07,4.07E-08,1.99E-07,1.18E+01
6.38E+02,1.98E-07,4.61E-08,2.04E-07,1.31E+01
6.40E+02,1.79E-07,-4.77E-08,1.85E-07,-1.49E+01
6.42E+02,2.18E-07,-1.16E-07,2.47E-07,-2.79E+01
6.44E+02,3.19E-07,-6.02E-08,3.25E-07,-1.07E+01
6.46E+02,3.39E-07,-5.05E-08,3.43E-07,-8.46E+00
6.48E+02,2.72E-07,-1.60E-07,3.15E-07,-3.05E+01
6.50E+02,2.36E-07,-1.77E-07,2.95E-07,-3.69E+01
6.52E+02,1.58E-07,-6.68E-08,1.72E-07,-2.29E+01
6.54E+02,2.52E-08,4.74E-09,2.57E-08,1.06E+01
6.56E+02,3.13E-08,-1.09E-08,3.31E-08,-1.91E+01
6.58E+02,2.03E-07,-5.10E-08,2.09E-07,-1.41E+01
6.60E+02,2.83E-07,-3.94E-08,2.85E-07,-7.94E+00
6.62E+02,6.96E-08,5.72E-08,9.01E-08,3.94E+01
6.64E+02,-1.91E-07,1.69E-07,2.55E-07,1.39E+02
6.66E+02,-2.48E-07,1.95E-07,3.15E-07,1.42E+02
6.68E+02,-2.22E-07,1.44E-07,2.64E-07,1.47E+02
6.70E+02,-1.36E-07,9.02E-08,1.63E-07,1.46E+02
6.72E+02,5.15E-09,7.96E-08,7.98E-08,8.63E+01
6.74E+02,-6.46E-09,1.50E-07,1.50E-07,9.25E+01
6.76E+02,-1.36E-07,2.91E-07,3.21E-07,1.15E+02
6.78E+02,-1.63E-07,3.37E-07,3.75E-07,1.16E+02
6.80E+02,-9.16E-08,1.77E-07,1.99E-07,1.17E+02
6.82E+02,-5.83E-08,7.62E-08,9.59E-08,1.27E+02
6.84E+02,-4.79E-08,1.37E-07,1.45E-07,1.09E+02
6.86E+02,4.88E-08,5.32E-08,7.22E-08,4.75E+01
6.88E+02,1.94E-07,-1.73E-07,2.60E-07,-4.18E+01
6.90E+02,2.00E-07,-2.67E-07,3.34E-07,-5.32E+01
6.92E+02,-2.20E-08,-2.09E-07,2.10E-07,-9.60E+01
6.94E+02,-1.88E-07,-1.10E-07,2.18E-07,-1.50E+02
6.96E+02,-1.36E-07,4.12E-08,1.42E-07,1.63E+02
6.98E+02,-7.52E-08,2.53E-07,2.64E-07,1.07E+02
7.00E+02,-4.10E-08,3.68E-07,3.70E-07,9.64E+01
7.02E+02,3.13E-08,2.53E-07,2.54E-07,8.29E+01
7.04E+02,1.47E-07,5.12E-08,1.56E-07,1.92E+01
7.06E+02,2.85E-07,-7.54E-08,2.95E-07,-1.48E+01
7.08E+02,3.53E-07,-2.14E-07,4.13E-07,-3.12E+01
7.10E+02,3.33E-07,-3.09E-07,4.54E-07,-4.29E+01
7.12E+02,2.75E-07,-2.16E-07,3.50E-07,-3.82E+01
7.14E+02,2.31E-07,-2.03E-08,2.32E-07,-5.02E+00
7.16E+02,2.13E-07,2.08E-07,2.97E-07,4.43E+01
7.18E+02,1.86E-07,4.10E-07,4.50E-07,6.56E+01
7.20E+02,1.23E-07,4.13E-07,4.31E-07,7.34E+01
